hour,num_trains,avg_headway,min_headway,max_headway
0,10,5.65,0.0,13.0
1,9,6.666666666666667,2.5,13.0
2,9,6.666666666666667,2.5,13.0
3,9,6.666666666666667,2.5,13.0
4,13,4.884615384615385,0.5,8.5
5,22,2.5681818181818183,0.5,6.0
6,29,2.0,0.0,8.0
7,36,1.6805555555555556,0.0,4.0
8,29,2.0689655172413794,0.0,4.0
9,26,2.4423076923076925,0.0,6.0
10,21,2.6666666666666665,0.0,7.5
11,24,2.6458333333333335,0.0,7.5
12,27,2.0925925925925926,0.0,7.5
13,33,1.9393939393939394,0.0,6.0
14,31,1.8225806451612903,0.0,4.5
15,41,1.4634146341463414,0.0,6.5
16,43,1.3837209302325582,0.0,4.5
17,32,1.890625,0.0,5.0
18,31,1.935483870967742,0.0,6.5
19,28,2.142857142857143,0.0,5.0
20,25,2.44,0.0,6.0
21,19,3.1315789473684212,0.0,7.0
22,15,4.033333333333333,0.5,10.0
23,11,4.0,0.5,10.0
