,Flushing-Main St,Mets-Willets Point,Junction Blvd,74 St-Broadway,61 St-Woodside,46 St-Bliss St,40 St-Lowery St,33 St-Rawson St,Queensboro Plaza,Court Sq,Hunters Point Av,Vernon Blvd-Jackson Av
Flushing-Main St,0.0,0.0,2.629757085020244,3.482827260458839,3.475641025641025,3.4295883940620797,3.4295883940620797,3.2607287449392715,3.2146761133603228,3.0783400809716603,3.2146761133603228,3.1203778677462886
Mets-Willets Point,-0.3591269841269842,0.0,1.71875,2.59375,2.6039362980769223,2.5629206730769223,2.5629206730769223,2.3715144230769223,2.330498798076924,2.2042367788461554,2.330498798076924,2.240655048076924
Junction Blvd,0.5396825396825395,0.7172161172161173,0.0,0.875,0.8851862980769232,0.8441706730769223,0.8441706730769223,0.6527644230769223,0.6117487980769223,0.48548677884615365,0.6117487980769241,0.5219050480769241
74 St-Broadway,,,,0.0,-0.06012620192307683,-0.10114182692307683,-0.10114182692307683,-0.2925480769230777,-0.3335637019230777,-0.45982572115384635,-0.3335637019230777,-0.4234074519230777
61 St-Woodside,1.5396825396825395,1.7249084249084259,2.7670250896057347,,0.0,-0.041015625,-0.041015625,-0.232421875,-0.2734375,-0.39969951923076863,-0.2734375,-0.36328125
46 St-Bliss St,0.003968253968256619,0.1902930402930405,1.2347670250896066,,-0.032258064516129004,0.0,0.0,-0.19140625,-0.232421875,-0.3586838942307695,-0.232421875,-0.322265625
40 St-Lowery St,0.003968253968256619,0.1902930402930405,1.2347670250896066,,-0.032258064516129004,0.0,0.0,-0.19140625,-0.232421875,-0.3586838942307695,-0.232421875,-0.322265625
33 St-Rawson St,-0.12103174603174338,0.06913919413919345,1.1218637992831546,,-0.14516129032258096,-0.11290322580645151,-0.11290322580645151,0.0,-0.041015625,-0.16727764423076952,-0.041015625,-0.130859375
Queensboro Plaza,-0.15674603174603163,0.03452380952381162,1.0896057347670247,,-0.17741935483870996,-0.14516129032258096,-0.14516129032258052,-0.032258064516129004,0.0,-0.1262620192307693,0.0,-0.08984375
Court Sq,0.7440476190476204,0.9095238095238116,1.8879928315412187,,0.620967741935484,0.653225806451613,0.653225806451613,0.766129032258065,-0.08922171018945213,0.0,0.1262620192307693,0.036418269230769074
Hunters Point Av,0.8412698412698418,0.9974358974358992,1.977214541730671,,0.7101894521249363,0.7424475166410662,0.7424475166410653,0.8553507424475164,0.0,0.08922171018945213,0.0,-0.08984375
Vernon Blvd-Jackson Av,0.8333333333333321,0.9904761904761905,1.970558115719406,,0.7035330261136714,0.7357910906298013,0.7357910906298013,0.8486943164362524,-0.0066564260112649265,0.08256528417818743,-0.0066564260112647045,0.0
