,33 St-Rawson St,40 St-Lowery St,46 St-Bliss St,61 St-Woodside,74 St-Broadway,Court Sq,Flushing-Main St,Hunters Point Av,Junction Blvd,Mets-Willets Point,Queensboro Plaza,Vernon Blvd-Jackson Av
33 St-Rawson St,0.0,0.0,0.0,0.0,,,1.537878787878789,,1.514705882352942,1.5931372549019613,,
40 St-Lowery St,,0.0,0.0,0.0,,,1.537878787878789,,1.514705882352942,1.5931372549019613,,
46 St-Bliss St,,,0.0,0.0,,,1.537878787878789,,1.514705882352942,1.5931372549019596,,
61 St-Woodside,,,,0.0,,,3.037878787878787,,3.014705882352941,3.0931372549019596,,
74 St-Broadway,,,,,,,,,,,,
Court Sq,-0.00912698412698365,-0.004084967320260979,-0.004084967320260979,0.07899159663865696,,0.0,1.9924242424242422,,1.6264705882352928,1.9343137254901954,0.017857142857142794,
Flushing-Main St,,,,,,,0.0,,,,,
Hunters Point Av,-0.026984126984126888,-0.02614379084967311,-0.02614379084967311,0.060504201680672054,,-0.022058823529411686,2.0151515151515156,0.0,1.6079831932773132,1.8999999999999986,0.0,
Junction Blvd,,,,,,,1.5984848484848486,,0.0,1.681372549019608,,
Mets-Willets Point,,,,,,,-0.09090909090909083,,,0.0,,
Queensboro Plaza,0.0,0.0,0.0,0.0,,,1.537878787878789,,1.514705882352942,1.5931372549019613,0.0,
Vernon Blvd-Jackson Av,-0.026984126984126888,-0.02614379084967311,-0.02614379084967311,0.060504201680672054,,-0.022058823529411686,2.0151515151515156,0.0,1.6079831932773132,1.8999999999999986,0.0,0.0
